titre,annee,realisateur,note_presse,note_spectateurs,url
Les Affranchis,1990,Martin Scorsese,5.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=5969.html
Parasite,2019,Bong Joon Ho,4.8,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=255238.html
Gran Torino,2009,Clint Eastwood,4.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=135063.html
Le Dictateur,1945,Charles Chaplin,5.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=2253.html
Star Wars : Episode V - L'Empire contre-attaque,1980,Irvin Kershner,5.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=25802.html
Seven,1996,David Fincher,3.6,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=13892.html
Le Seigneur des anneaux : les deux tours,2002,Peter Jackson,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=39186.html
Django Unchained,2013,Quentin Tarantino,4.6,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=190918.html
Dune : Deuxième Partie,2024,Denis Villeneuve,4.2,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=278742.html
Usual Suspects,1995,Bryan Singer,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=12837.html
Le Tombeau des lucioles,1996,Isao Takahata,4.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=10251.html
Les Temps modernes,1936,Charles Chaplin,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=1832.html
Green Book : Sur les routes du sud,2019,Peter Farrelly,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=256661.html
La Vie est belle,1998,Roberto Benigni,3.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=64439.html
Coco,2017,Lee Unkrich,4.1,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=206775.html
Inception,2010,Christopher Nolan,4.1,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=143692.html
Le Comte de Monte-Cristo,2024,Matthieu Delaporte,3.6,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=288404.html
Your Name,2016,Makoto Shinkai,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=249877.html
Le Voyage de Chihiro,2002,Hayao Miyazaki,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=37485.html
Apocalypse Now Final Cut,1979,Francis Ford Coppola,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=27061.html
Spider-Man : Across The Spider-Verse,2023,Joaquim Dos Santos,4.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=269975.html
Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles),1977,George Lucas,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=25801.html
American History X,1999,Tony Kaye,2.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=12475.html
Psychose,1960,Alfred Hitchcock,4.5,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=1603.html
Guerre et Paix,1966,Sergey Bondarchuk,,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2606.html
Whiplash,2014,Damien Chazelle,4.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=225953.html
Le Silence des agneaux,1991,Jonathan Demme,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=6641.html
Le Kid,1921,Charles Chaplin,4.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2255.html
